के|66724597
में|50466913
है|44788469
की|41029977
को|30698557
से|29166731
और|24114913
का|23055188
ने|21532316
पर|18726578
हैं|16879562
कि|16236257
भी|13549608
एक|10715545
लिए|10344197
इस|10117292
नहीं|9992518
कर|9540137
ही|8564957
किया|7625081
हो|7459246
तो|7071159
था|6669403
यह|6600165
गया|6377133
कहा|6351321
करने|6231923
साथ|5782126
बाद|4906877
अपने|4504449
दिया|4415689
रहे|4391356
हुए|4062749
तक|3992914
रहा|3933653
थी|3746681
रही|3686711
लेकिन|3484222
जा|3465708
उन्होंने|3456914
जो|3431096
गई|3402651
थे|3384913
सरकार|3297021
वह|3232805
कुछ|3116831
पहले|3008222
होने|2861879
व|2802002
लोगों|2746635
अब|2725031
कोई|2716272
वाले|2705105
भारत|2685968
अपनी|2665352
करते|2664674
या|2633519
गए|2614334
आप|2587738
इसके|2583341
दी|2550255
पुलिस|2544461
ये|2530841
किसी|2460130
सिंह|2451237
बात|2441676
तरह|2237446
साल|2197004
जब|2176703
हुआ|2169629
लेकर|2159600
समय|2152045
बताया|2147803
कई|2110344
आज|2097868
उनके|2086306
दो|2072200
देश|2047424
बार|2025399
न|2004761
हुई|2001060
दिन|1964059
द्वारा|1944629
काम|1877290
सभी|1866015
जाता|1852116
उन्हें|1849369
हम|1811262
इन|1810905
होता|1803876
जाने|1755460
होगा|1750839
करना|1749719
फिर|1745275
सकता|1738859
लोग|1703905
वे|1696507
बहुत|1688826
रूप|1668341
मैं|1647298
